"FIPS","GEO_ID","PRED3_PE_lower","PRED3_PE","PRED3_PE_upper","RPL_THEMES"
"36001000100","1400000US36001000100",22.88,36.21,49.54,0.8673
"36001000201","1400000US36001000201",35.85,50.95,66.05,0.7962
"36001000202","1400000US36001000202",33.67,47.45,61.23,0.6734
"36001000301","1400000US36001000301",31.92,47.6,63.28,0.7955
"36001000302","1400000US36001000302",12.82,25.17,37.52,0.5451
"36001000401","1400000US36001000401",23.43,35.09,46.75,0.3305
"36001000403","1400000US36001000403",1.16,13.06,24.96,0.3174
"36001000501","1400000US36001000501",32.6,45.96,59.32,0.819
"36001000502","1400000US36001000502",14.61,26.93,39.25,0.3914
"36001000600","1400000US36001000600",21.05,33.07,45.09,0.9266
"36001000700","1400000US36001000700",21.07,33.95,46.83,0.9416
"36001000800","1400000US36001000800",18.82,34.31,49.8,0.9645
"36001001100","1400000US36001001100",22.14,35.6,49.06,0.7639
"36001001400","1400000US36001001400",12.26,25.17,38.08,0.2266
"36001001500","1400000US36001001500",7.66,20.01,32.36,0.5771
"36001001600","1400000US36001001600",4.34,15.49,26.64,0.4634
"36001001700","1400000US36001001700",13.1,24.94,36.78,0.3701
"36001001802","1400000US36001001802",7.17,18.83,30.49,0.2638
"36001001803","1400000US36001001803",9.59,21.1,32.61,0.1378
"36001001804","1400000US36001001804",8.27,17.31,26.35,0.5754
"36001001901","1400000US36001001901",1.65,13.39,25.13,0.057
"36001001902","1400000US36001001902",4.33,15.85,27.37,0.0555
"36001002000","1400000US36001002000",2.61,14.21,25.81,0.5469
"36001002100","1400000US36001002100",8.06,21.56,35.06,0.6425
"36001002200","1400000US36001002200",4.47,16.17,27.87,0.3467
"36001002300","1400000US36001002300",17.79,31.78,45.77,0.671
"36001002500","1400000US36001002500",20.87,34.58,48.29,0.9683
"36001002600","1400000US36001002600",14.72,27.61,40.5,0.816
"36001012700","1400000US36001012700",5.07,15.97,26.87,0.4763
"36001012800","1400000US36001012800",12.96,24.71,36.46,0.8061
"36001012900","1400000US36001012900",3.29,16.2,29.11,0.637
"36001013000","1400000US36001013000",20.09,30.59,41.09,0.3233
"36001013100","1400000US36001013100",24.89,36.13,47.37,0.5239
"36001013200","1400000US36001013200",15.02,27.54,40.06,0.7392
"36001013300","1400000US36001013300",5.38,16.74,28.1,0.4995
"36001013400","1400000US36001013400",0.649999999999999,12.37,24.09,0.3545
"36001013503","1400000US36001013503",3.73,11.78,19.83,0.2097
"36001013505","1400000US36001013505",13.07,22.1,31.13,0.2423
"36001013507","1400000US36001013507",8.75,17.48,26.21,0.4134
"36001013509","1400000US36001013509",14.93,23.1,31.27,0.184
"36001013510","1400000US36001013510",6.14,16.51,26.88,0.2176
"36001013511","1400000US36001013511",-1.9,5.51,12.92,0.295
"36001013512","1400000US36001013512",8.43,17.26,26.09,0.1348
"36001013602","1400000US36001013602",5.08,16.8,28.52,0.6263
"36001013603","1400000US36001013603",4.1,13.05,22,0.0515
"36001013604","1400000US36001013604",13.84,26.22,38.6,0.2519
"36001013703","1400000US36001013703",24.33,34.56,44.79,0.3484
"36001013706","1400000US36001013706",9.68,18.31,26.94,0.0198
"36001013707","1400000US36001013707",7.76,17.04,26.32,0.2222
"36001013708","1400000US36001013708",10.56,19.85,29.14,0.0844
"36001013709","1400000US36001013709",6.71,15.95,25.19,0.0437
"36001013802","1400000US36001013802",4.03,11.63,19.23,0.0627
"36001013803","1400000US36001013803",1.78,10.19,18.6,0.3676
